,Sentence1,Sentence2,label,predictions
0,"Tương_tự , trái_phiếu 30 năm US30YT_RR trượt 111 32 với lợi_suất 4,38 % , tăng từ 4,30 %","Trái_phiếu 30 năm US30YT_RR đã tăng 20,32 , đưa lợi_suất của nó lên 4,14 % từ 4,18 %",0.36,0.71
1,Rusch cũng đã cho_phép năm hoặc nhiều lần kiếm được trong mỗi lần bắt_đầu cuối_cùng của mình,Redman đã cho_phép cả hai chạy đã thu hoặc ít hơn trong sáu trong số chín bắt_đầu của mình,0.4,0.8
2,"Các thành_viên AFTRA đã chấp_thuận việc sáp_nhập bằng tỷ_lệ phiếu từ 75,88 % đến 24,12 %","AFTRA , mặt_khác , qua việc sáp_nhập bởi một con_số khổng_lồ 75 %",0.8182,0.48
3,"Một cuộc tìm_kiếm ba thiếu_niên mất_tích đã phát_hiện ra ít_nhất hai thi_thể được chôn dưới lớp bê_tông mới đổ trong tầng hầm của một ngôi nhà , nhà_chức_trách cho biết hôm thứ Tư",Các nhà_chức_trách đã thực_hiện một cuộc khám_nghiệm tử_thi hôm thứ_Năm trên một trong 3 cơ_thể hồi_phục từ dưới một lớp ổ đổ bê_tông ở dưới tầng hầm của một vùng tây_bắc Indiana về nhà,0.48,0.67
4,"SIA cho biết thị_trường DRAM dự_kiến sẽ tăng 2,9 % lên 15,7 tỷ USD năm 2003 và 43 % lên 22,5 tỷ USD năm 2004","Thị_trường Mỹ sẽ giảm 2,1 phần_trăm đến $ 30,6 tỷ vào năm 2003 , và sau đó phát_triển 15,7 phần_trăm đến $ 35,4 tỷ vào năm 2004",0.24,0.62
5,"Nạn_nhân thứ_bảy , một phụ_nữ , đã chết đêm thứ baở Khoa_bỏng tại Trung_tâm Y_tế Bệnh_viện Nhi_đồng Akron","Một người thứ_bảy , một phụ_nữ 21 tuổi , đang ở trong tình_trạng nguy_kịch trong đơn_vị bỏng tại Bệnh_viện Akron của trẻ_em",0.48,0.7
6,"Chỉ_số hỗn_hợp công_nghệ Nasdaq_IXIC tăng 5,91 điểm , tương_đương 1,78 % , lên 2053,27","Chỉ_số Nasdaq Composite_Index công_nghệ tập_trung vào IXIC tiên_tiến 6 điểm , tương_đương 0,30 % , đến 2053 , xóa đi mức giảm trước đó",0.64,0.48
7,"Thi_thể của cựu người đàn_ông Invercargill Warren_Campbell , 32 tuổi và bạn đồng_hành leo núi Jonathan_Smith , 47 tuổi , đã được phục_hồi từ bên dưới Mt DArchiac vào sáng hôm_qua","Warren David_Campbell , 32 tuổi , và leo núi đồng_hành Jonathan_Smith , 47 tuổi , đã không trở_lại như mong_đợi vào thứ ba khi leo trên núi DArchiac ở quận McKenzie",0.44000000000000006,0.69
8,"Giám_đốc_điều_hành MGM , NBC và Liberty đã không có bình_luận ngay_lập_tức",Một phát_ngôn_viên của Microsoft không phải ngay_lập_tức có sẵn để bình_luận,0.4,0.52
9,"Tổng_thống Bush đã tăng kỷ_lục 49,5 triệu đô_la cho chiến_dịch tái_tranh_cử của ông trong ba tháng qua , với sự đóng_góp của 262000 người Mỹ , chủ_tịch chiến_dịch của tổng_thống cho biết hôm th","Tổng_thống Bush 839 triệu đô_la đã làm dấy lên từ khi bắt_đầu chiến_dịch tái đắc_cử của ông vào tháng 5 , và có 70 triệu đô_la trong số đó để_dành , cuộc vận_động của ông cho biết vào hôm thứ ba",0.48,0.73
10,"Vào thứ_Hai , như báo_cáo đầu_tiên của CNET_Newscom , RIAA đã rút thông_báo DMCA đến khoa thiên_văn_học và vật_lý thiên_văn của Đại_học bang Pennsylvania","Hôm thứ_Năm , cuối_cùng là RIAA gửi một bản_quyền để cảnh_báo cứng_Penn State_khoa về thiên_văn_học và vật_lý thiên_thể",0.35,0.66
11,"Trong cùng quý năm_ngoái , EDS đã công_bố lợi_nhuận 354 triệu đô_la , tương_đương 72 cent mỗi cổ_phiếu","EDS báo lỗ trong quý I là 126 triệu $ , tương_đương 26 cent mỗi cổ_phiếu",0.3,0.56
12,"Ông đã có một bài phát_biểu đầy bất_ngờ cho Hiệp_Hội Công_Nhân_Ngành Thép Hoa_Kỳ , tổ_chức đã tuyên_bố xác_nhận ngày hôm_qua","Hôm thứ_Ba , ông nhận được sự ủng_hộ của nhân ngành thép Hoa_Kỳ",0.45,0.64
13,"Thịt , thịt gia_cầm , bơ , phô_mai và các loại hạt đã được đặt cách đây một năm tại một kho lưu_trữ lạnh LaGrou ở Chicago","Thịt , gia_cầm , bơ , phô_mai và các loại hạt đã được lưu_trữ bởi hơn 100 nhà bán_buôn ở Chicago",0.36,0.76
14,"GM , nhà_sản_xuất ô_tô lớn nhất thế_giới , có 115000 công_nhân UAW đang hoạt_động và 340000 người về hưu và bạn đời của họ","Họ bao_quát hơn 300,000_UAW công_nhân và 500000 người đã nghỉ hưu và các cặp vợ_chồng",0.48,0.62
15,Gia_đình sở_hữu các câu_lạc_bộ thoát y_Cheetahs ở đây và ở Las_Vegas,Các tìm_kiếm được tiến_hành đồng_thời với các cuộc tấn_công vào các câu_lạc_bộ dải ở San_Diego và Las_Vegas,0.3,0.53
16,"Graham , một ứng_cử_viên tổng_thống , đã bị một_số đảng_viên đảng Cộng_hòa chỉ_trích là chính_trị hóa báo_cáo","Graham , người đồng chủ_trì cuộc điều_tra , là một ứng_cử_viên của tổng_thống",0.45,0.65
